episode,reward,steps,final_level,win
399,279.42999999999995,845,15,1
400,279.6,848,15,1
401,199.67000000000002,508,15,1
402,279.42999999999995,623,15,1
403,-10.15,392,2,0
404,-10.15,349,2,0
405,199.55,555,15,1
406,-10.65,393,2,0
407,-10.15,301,2,0
408,279.42999999999995,879,15,1
409,379.95,604,15,1
410,279.95,822,15,1
411,-10.62,227,2,0
412,-10.15,612,5,0
413,-10.25,786,11,0
414,199.43,778,15,1
415,279.95,813,15,1
416,279.51,798,15,1
417,-10.41,349,3,0
418,199.43,448,15,1
419,199.72,689,15,1
420,279.95,587,15,1
421,279.54999999999995,836,15,1
422,-10.15,427,3,0
423,279.95,725,15,1
424,199.66,547,15,1
425,-10.17,637,7,0
426,279.56,639,15,1
427,69.38000000000001,488,5,0
428,279.76,461,15,1
429,379.95,737,15,1
430,279.42999999999995,1045,15,1
431,-10.65,389,2,0
432,379.40999999999997,713,15,1
433,279.42999999999995,477,15,1
434,279.42999999999995,526,15,1
435,279.42999999999995,1007,15,1
436,279.95,636,15,1
437,-10.15,272,2,0
438,199.61,502,15,1
439,279.42999999999995,814,15,1
440,279.95,657,15,1
441,279.42999999999995,762,15,1
442,199.43,987,15,1
443,279.95,839,15,1
444,279.42999999999995,488,15,1
445,199.43,699,15,1
446,199.43,687,15,1
447,279.73,781,15,1
448,279.5,681,15,1
449,279.42999999999995,549,15,1
450,279.46,518,15,1
451,-10.65,365,2,0
452,279.42999999999995,658,15,1
453,-10.65,304,2,0
454,-10.38,530,4,0
455,-10.17,300,2,0
456,-10.5,542,10,0
457,-10.15,272,2,0
458,279.42999999999995,526,15,1
459,279.42999999999995,718,15,1
460,379.81,559,15,1
461,-10.47,198,2,0
462,-10.65,308,2,0
463,279.42999999999995,573,15,1
464,-10.65,316,2,0
465,279.42999999999995,577,15,1
466,-10.38,285,2,0
467,279.42999999999995,660,15,1
468,-10.29,558,7,0
469,379.95,564,15,1
470,279.42999999999995,761,15,1
471,279.95,564,15,1
472,199.43,698,15,1
473,279.95,771,15,1
474,199.43,510,15,1
475,279.42999999999995,500,15,1
476,279.95,561,15,1
477,279.64,910,15,1
478,279.42999999999995,751,15,1
479,279.95,674,15,1
480,279.42999999999995,609,15,1
481,279.42999999999995,629,15,1
482,279.42999999999995,787,15,1
483,199.95,671,15,1
484,-10.15,240,2,0
485,279.62,818,15,1
486,-10.15,313,2,0
487,199.95,720,15,1
488,279.44,772,15,1
489,279.42999999999995,876,15,1
490,379.59,626,15,1
491,279.42999999999995,946,15,1
492,-10.65,791,10,0
493,379.40999999999997,788,15,1
494,279.42999999999995,683,15,1
495,199.43,557,15,1
496,169.73,252,3,0
497,-10.15,291,3,0
498,279.42999999999995,790,15,1
499,379.40999999999997,639,15,1
500,199.43,674,15,1
501,279.77,774,15,1
502,199.95,679,15,1
503,279.42999999999995,877,15,1
504,279.42999999999995,545,15,1
505,-10.15,224,2,0
506,279.42999999999995,667,15,1
507,379.95,593,15,1
508,-10.15,198,2,0
509,-10.15,228,2,0
510,379.40999999999997,559,15,1
511,279.95,575,15,1
512,379.44,797,15,1
513,279.95,631,15,1
514,279.95,615,15,1
515,279.95,516,15,1
516,279.95,737,15,1
517,279.42999999999995,753,15,1
518,279.42999999999995,715,15,1
519,279.42999999999995,863,15,1
520,-10.59,405,2,0
521,379.95,667,15,1
522,-10.15,648,3,0
523,-10.59,448,2,0
524,199.43,726,15,1
525,279.95,465,15,1
526,279.95,655,15,1
527,279.42999999999995,611,15,1
528,279.95,934,15,1
529,-10.15,253,2,0
530,279.91999999999996,660,15,1
531,-10.15,311,2,0
532,-10.65,660,8,0
533,-10.15,660,10,0
534,279.95,625,15,1
535,69.85000000000001,521,5,0
536,279.86,575,15,1
537,69.85000000000001,383,2,0
538,279.95,624,15,1
539,279.95,592,15,1
540,279.95,661,15,1
541,379.40999999999997,633,15,1
542,-10.15,551,6,0
543,279.67999999999995,980,15,1
544,-10.15,225,2,0
545,279.95,749,15,1
546,199.95,590,15,1
547,279.95,647,15,1
548,279.62,677,15,1
549,279.95,635,15,1
550,199.43,590,15,1
551,279.5,699,15,1
552,-10.62,207,2,0
553,-10.65,200,2,0
554,279.95,625,15,1
555,279.95,882,15,1
556,279.61,606,15,1
557,279.95,633,15,1
558,279.42999999999995,541,15,1
559,199.89,793,15,1
560,379.95,568,15,1
561,-10.44,387,4,0
562,279.95,598,15,1
563,199.64,483,15,1
564,69.35000000000001,334,2,0
565,-10.15,279,2,0
566,279.95,603,15,1
567,279.42999999999995,945,15,1
568,279.95,721,15,1
569,279.78,874,15,1
570,279.95,729,15,1
571,-10.65,441,4,0
572,-10.15,293,2,0
573,199.95,732,15,1
574,199.95,495,15,1
575,279.95,643,15,1
576,279.95,626,15,1
577,69.35000000000001,495,3,0
578,199.43,712,15,1
579,279.95,790,15,1
580,-10.65,484,2,0
581,279.95,573,15,1
582,199.43,855,15,1
583,199.95,662,15,1
584,-10.15,334,2,0
585,-10.65,293,2,0
586,279.95,546,15,1
587,279.95,498,15,1
588,379.95,435,15,1
589,199.95,720,15,1
590,279.42999999999995,490,15,1
591,279.95,751,15,1
592,199.95,985,15,1
593,199.86,676,15,1
594,279.42999999999995,565,15,1
595,279.95,717,15,1
596,279.95,617,15,1
597,279.42999999999995,715,15,1
598,-10.15,265,2,0
599,379.89,478,15,1
600,279.95,791,15,1
601,279.95,808,15,1
602,279.54999999999995,659,15,1
603,279.95,458,15,1
604,279.95,817,15,1
605,199.43,540,15,1
606,279.95,600,15,1
607,279.95,821,15,1
608,279.95,511,15,1
609,379.71,514,15,1
610,-10.6,289,2,0
611,279.42999999999995,780,15,1
612,379.95,994,15,1
613,279.95,644,15,1
614,279.86,544,15,1
615,279.42999999999995,769,15,1
616,-10.42,428,2,0
617,279.49,795,15,1
618,-10.15,621,7,0
619,379.40999999999997,517,15,1
620,-10.15,262,2,0
621,279.42999999999995,903,15,1
622,279.42999999999995,969,15,1
623,279.42999999999995,540,15,1
624,-10.65,290,2,0
625,279.49,659,15,1
626,199.44,757,15,1
627,199.43,775,15,1
628,199.46,559,15,1
629,279.63,546,15,1
630,279.42999999999995,525,15,1
631,-10.15,417,8,0
632,279.42999999999995,1017,15,1
633,379.59999999999997,686,15,1
634,199.95,541,15,1
635,279.42999999999995,613,15,1
636,279.78,527,15,1
637,279.42999999999995,794,15,1
638,-10.15,261,2,0
639,199.43,831,15,1
640,279.45,621,15,1
641,279.63,545,15,1
642,-10.5,320,2,0
643,279.71,644,15,1
644,199.59,550,15,1
645,-10.15,548,4,0
646,379.40999999999997,819,15,1
647,-10.15,356,4,0
648,-10.4,311,2,0
649,479.39,694,15,1
650,379.63,572,15,1
651,199.95,799,15,1
652,-10.15,352,2,0
653,279.95,730,15,1
654,279.95,813,15,1
655,199.95,785,15,1
656,279.95,589,15,1
657,379.95,516,15,1
658,199.95,598,15,1
659,69.85000000000001,530,5,0
660,279.95,594,15,1
661,279.42999999999995,609,15,1
662,69.35000000000001,548,6,0
663,-10.65,400,2,0
664,279.95,608,15,1
665,379.95,570,15,1
666,279.62,581,15,1
667,-10.15,256,2,0
668,199.95,622,15,1
669,199.95,564,15,1
670,279.84,718,15,1
671,199.95,599,15,1
672,279.95,977,15,1
673,379.40999999999997,679,15,1
674,199.95,544,15,1
675,279.95,646,15,1
676,279.42999999999995,537,15,1
677,199.82,781,15,1
678,279.95,642,15,1
679,199.67000000000002,569,15,1
680,-10.59,305,3,0
681,279.95,665,15,1
682,-10.65,1112,11,0
683,279.42999999999995,800,15,1
684,279.42999999999995,576,15,1
685,279.95,960,15,1
686,279.95,726,15,1
687,-10.56,223,2,0
688,199.81,623,15,1
689,279.63,734,15,1
690,199.43,665,15,1
691,279.95,867,15,1
692,279.95,626,15,1
693,279.42999999999995,630,15,1
694,279.81,503,15,1
695,279.95,592,15,1
696,-10.15,398,8,0
697,479.78,651,15,1
698,279.78999999999996,823,15,1
699,279.95,1263,15,1
700,379.95,553,15,1
701,279.95,723,15,1
702,379.77,604,15,1
703,379.95,884,15,1
704,279.95,806,15,1
705,279.95,649,15,1
706,279.95,638,15,1
707,-10.15,303,2,0
708,279.85,690,15,1
709,279.95,754,15,1
710,279.52,888,15,1
711,-10.65,248,2,0
712,279.52,741,15,1
713,-10.26,281,2,0
714,199.43,505,15,1
715,279.63,547,15,1
716,279.84,500,15,1
717,279.92999999999995,844,15,1
718,279.52,922,15,1
719,199.91,647,15,1
720,279.42999999999995,672,15,1
721,199.95,551,15,1
722,379.95,547,15,1
723,279.52,641,15,1
724,279.95,650,15,1
725,199.95,581,15,1
726,199.68,1159,15,1
727,-10.15,289,2,0
728,279.95,553,15,1
729,279.95,625,15,1
730,199.61,604,15,1
731,199.43,1148,15,1
732,279.95,580,15,1
733,279.95,833,15,1
734,379.95,526,15,1
735,-10.15,253,3,0
736,379.51,916,15,1
737,199.68,908,15,1
738,279.95,598,15,1
739,379.83,509,15,1
740,-10.15,244,2,0
741,479.39,927,15,1
742,199.95,624,15,1
743,199.95,770,15,1
744,199.95,832,15,1
745,279.44,839,15,1
746,-10.65,527,9,0
747,199.63,588,15,1
748,279.95,902,15,1
749,279.73,514,15,1
750,279.44,736,15,1
751,199.57,618,15,1
752,279.42999999999995,541,15,1
753,279.83,568,15,1
754,199.43,623,15,1
755,279.95,549,15,1
756,-10.53,351,2,0
757,279.95,599,15,1
758,279.52,1082,15,1
759,199.43,760,15,1
760,279.95,715,15,1
761,279.54999999999995,618,15,1
762,-10.15,437,4,0
763,279.51,520,15,1
764,279.61,695,15,1
765,199.95,549,15,1
766,279.46,718,15,1
767,-10.65,369,2,0
768,379.40999999999997,948,15,1
769,69.38000000000001,476,3,0
770,199.43,1047,15,1
771,199.43,752,15,1
772,199.95,641,15,1
773,-10.15,278,2,0
774,379.5,604,15,1
775,379.40999999999997,632,15,1
776,199.43,842,15,1
777,-10.15,309,2,0
778,279.95,567,15,1
779,199.95,853,15,1
780,279.95,577,15,1
781,279.95,609,15,1
782,199.55,754,15,1
783,199.95,617,15,1
784,-10.15,267,2,0
785,279.95,572,15,1
786,279.95,579,15,1
787,-10.65,219,2,0
788,279.77,612,15,1
789,-10.15,360,2,0
790,279.95,564,15,1
791,279.95,569,15,1
792,279.95,941,15,1
793,199.95,640,15,1
794,199.55,722,15,1
795,-10.65,445,3,0
796,279.42999999999995,665,15,1
797,379.45,558,15,1
798,279.52,862,15,1
799,279.67999999999995,571,15,1
800,-10.15,192,2,0
801,279.63,559,15,1
802,379.95,498,15,1
803,379.40999999999997,610,15,1
804,279.42999999999995,735,15,1
805,279.77,572,15,1
806,279.59,705,15,1
807,-10.15,241,2,0
808,199.43,797,15,1
809,-10.15,372,2,0
810,69.50000000000001,739,9,0
811,199.95,411,15,1
812,279.95,562,15,1
813,279.95,576,15,1
814,279.61,700,15,1
815,199.95,602,15,1
816,279.95,710,15,1
817,199.95,496,15,1
818,279.95,684,15,1
819,279.95,526,15,1
820,279.95,807,15,1
821,279.91999999999996,636,15,1
822,479.40999999999997,690,15,1
823,379.95,505,15,1
824,199.57,656,15,1
825,-10.47,453,2,0
826,379.40999999999997,623,15,1
827,-10.61,287,2,0
828,279.42999999999995,618,15,1
